Metric,Value,Ticker
10DayAverageTradingVolume,44.96414,AAPL
13WeekPriceReturnDaily,22.882,AAPL
26WeekPriceReturnDaily,31.5811,AAPL
3MonthADReturnStd,26.683743,AAPL
3MonthAverageTradingVolume,54.16322,AAPL
52WeekHigh,265.29,AAPL
52WeekHighDate,2025-10-21,AAPL
52WeekLow,169.2101,AAPL
52WeekLowDate,2025-04-08,AAPL
52WeekPriceReturnDaily,13.8932,AAPL
5DayPriceReturnDaily,0.2212,AAPL
assetTurnoverAnnual,1.0714,AAPL
assetTurnoverTTM,1.1915,AAPL
beta,1.1092151,AAPL
bookValuePerShareAnnual,3.7673,AAPL
bookValuePerShareQuarterly,4.431,AAPL
bookValueShareGrowth5Y,-5.85,AAPL
capexCagr5Y,-2.08,AAPL
cashFlowPerShareAnnual,7.1978,AAPL
cashFlowPerShareQuarterly,6.4741,AAPL
cashFlowPerShareTTM,6.86253,AAPL
cashPerSharePerShareAnnual,4.3112,AAPL
cashPerSharePerShareQuarterly,3.7271,AAPL
currentDividendYieldTTM,0.3939,AAPL
currentEv/freeCashFlowAnnual,36.4478,AAPL
currentEv/freeCashFlowTTM,41.2312,AAPL
currentRatioAnnual,0.8673,AAPL
currentRatioQuarterly,0.868,AAPL
dividendGrowthRate5Y,5.3,AAPL
dividendIndicatedAnnual,1.04,AAPL
dividendPerShareAnnual,0.9935,AAPL
dividendPerShareTTM,1.0215,AAPL
dividendYieldIndicatedAnnual,0.32732555,AAPL
ebitdPerShareAnnual,8.7571,AAPL
ebitdPerShareTTM,9.3392,AAPL
ebitdaCagr5Y,11.9,AAPL
ebitdaInterimCagr5Y,14.49,AAPL
enterpriseValue,3965780,AAPL
epsAnnual,6.0836,AAPL
epsBasicExclExtraItemsAnnual,6.0836,AAPL
epsBasicExclExtraItemsTTM,6.5781,AAPL
epsExclExtraItemsAnnual,6.0836,AAPL
epsExclExtraItemsTTM,6.5781,AAPL
epsGrowth3Y,2.71,AAPL
epsGrowth5Y,15.41,AAPL
epsGrowthQuarterlyYoy,12.19,AAPL
epsGrowthTTMYoy,0.16,AAPL
epsInclExtraItemsAnnual,6.0836,AAPL
epsInclExtraItemsTTM,6.5781,AAPL
epsNormalizedAnnual,6.0836,AAPL
epsTTM,6.5781,AAPL
evEbitdaTTM,28.1227,AAPL
evRevenueTTM,9.7052,AAPL
focfCagr5Y,13.06,AAPL
forwardPE,35.618460450932254,AAPL
grossMargin5Y,42.73,AAPL
grossMarginAnnual,46.21,AAPL
grossMarginTTM,46.68,AAPL
inventoryTurnoverAnnual,30.8955,AAPL
inventoryTurnoverTTM,36.044,AAPL
longTermDebt/equityAnnual,1.5057,AAPL
longTermDebt/equityQuarterly,1.2522,AAPL
marketCapitalization,3900351,AAPL
monthToDatePriceReturnDaily,3.2164,AAPL
netIncomeEmployeeAnnual,0.5716,AAPL
netIncomeEmployeeTTM,0.6054,AAPL
netInterestCoverageAnnual,622.5082,AAPL
netInterestCoverageTTM,622.5082,AAPL
netMarginGrowth5Y,2.45,AAPL
netProfitMargin5Y,24.28,AAPL
netProfitMarginAnnual,23.97,AAPL
netProfitMarginTTM,24.3,AAPL
operatingMargin5Y,29.11,AAPL
operatingMarginAnnual,31.51,AAPL
operatingMarginTTM,31.87,AAPL
payoutRatioAnnual,16.25,AAPL
payoutRatioTTM,15.47,AAPL
pb,59.2488,AAPL
pbAnnual,61.8474,AAPL
pbQuarterly,46.55,AAPL
pcfShareAnnual,32.9828,AAPL
pcfShareTTM,35.9264,AAPL
peAnnual,41.61,AAPL
peBasicExclExtraTTM,39.2864,AAPL
peExclExtraAnnual,30.96975,AAPL
peExclExtraTTM,39.2864,AAPL
peInclExtraTTM,39.2864,AAPL
peNormalizedAnnual,41.61,AAPL
peTTM,39.2864,AAPL
pegTTM,251.62481104842288,AAPL
pfcfShareAnnual,35.8465,AAPL
pfcfShareTTM,40.5509,AAPL
pretaxMargin5Y,29.15,AAPL
pretaxMarginAnnual,31.58,AAPL
pretaxMarginTTM,31.7,AAPL
priceRelativeToS&P50013Week,16.58,AAPL
