Metric,Value,Ticker
10DayAverageTradingVolume,81.38941,TSLA
13WeekPriceReturnDaily,37.2271,TSLA
26WeekPriceReturnDaily,82.2583,TSLA
3MonthADReturnStd,44.42439,TSLA
3MonthAverageTradingVolume,91.46862,TSLA
52WeekHigh,488.5399,TSLA
52WeekHighDate,2024-12-18,TSLA
52WeekLow,212.11,TSLA
52WeekLowDate,2024-10-23,TSLA
52WeekPriceReturnDaily,103.0049,TSLA
5DayPriceReturnDaily,-3.0642,TSLA
assetTurnoverAnnual,0.8003,TSLA
assetTurnoverTTM,0.7508,TSLA
beta,1.8596574,TSLA
bookValuePerShareAnnual,22.672,TSLA
bookValuePerShareQuarterly,24.05,TSLA
bookValueShareGrowth5Y,56.21,TSLA
capexCagr5Y,51.16,TSLA
cashFlowPerShareAnnual,1.1135,TSLA
cashFlowPerShareQuarterly,2.0552,TSLA
cashFlowPerShareTTM,4.34806,TSLA
cashPerSharePerShareAnnual,11.3691,TSLA
cashPerSharePerShareQuarterly,12.5248,TSLA
currentDividendYieldTTM,,TSLA
currentEv/freeCashFlowAnnual,393.2531,TSLA
currentEv/freeCashFlowTTM,206.0637,TSLA
currentRatioAnnual,2.0249,TSLA
currentRatioQuarterly,2.0663,TSLA
dividendIndicatedAnnual,0,TSLA
dividendPerShareTTM,,TSLA
ebitdPerShareAnnual,3.7399,TSLA
ebitdPerShareTTM,3.2758,TSLA
ebitdaCagr5Y,44.42,TSLA
ebitdaInterimCagr5Y,22.04,TSLA
enterpriseValue,1408239.5,TSLA
epsAnnual,2.0383,TSLA
epsBasicExclExtraItemsAnnual,2.0383,TSLA
epsBasicExclExtraItemsTTM,1.4950999999999999,TSLA
epsExclExtraItemsAnnual,2.0383,TSLA
epsExclExtraItemsTTM,1.4950999999999999,TSLA
epsGrowth3Y,7.72,TSLA
epsGrowth5Y,,TSLA
epsGrowthQuarterlyYoy,-37.16,TSLA
epsGrowthTTMYoy,-59.59,TSLA
epsInclExtraItemsAnnual,2.0383,TSLA
epsInclExtraItemsTTM,1.4950999999999999,TSLA
epsNormalizedAnnual,2.0383,TSLA
epsTTM,1.4950999999999999,TSLA
evEbitdaTTM,122.0312,TSLA
evRevenueTTM,14.7255,TSLA
focfCagr5Y,29.9,TSLA
forwardPE,257.4436790014709,TSLA
grossMargin5Y,21.6,TSLA
grossMarginAnnual,17.86,TSLA
grossMarginTTM,17.01,TSLA
inventoryTurnoverAnnual,6.2582,TSLA
inventoryTurnoverTTM,5.9217,TSLA
longTermDebt/equityAnnual,0.0759,TSLA
longTermDebt/equityQuarterly,0.0723,TSLA
marketCapitalization,1442184.5,TSLA
monthToDatePriceReturnDaily,-2.4735,TSLA
netIncomeEmployeeAnnual,0.0567,TSLA
netIncomeEmployeeTTM,0.0419,TSLA
netInterestCoverageAnnual,43.2422,TSLA
netInterestCoverageTTM,71.4778,TSLA
netMarginGrowth5Y,,TSLA
netProfitMargin5Y,10.14,TSLA
netProfitMarginAnnual,7.3,TSLA
netProfitMarginTTM,5.51,TSLA
operatingMargin5Y,10.32,TSLA
operatingMarginAnnual,7.24,TSLA
operatingMarginTTM,4.74,TSLA
payoutRatioAnnual,,TSLA
payoutRatioTTM,,TSLA
pb,18.0341,TSLA
pbAnnual,17.7794,TSLA
pbQuarterly,18.4914,TSLA
pcfShareAnnual,96.6417,TSLA
pcfShareTTM,91.5789,TSLA
peAnnual,202.2699,TSLA
peBasicExclExtraTTM,273.7632,TSLA
peExclExtraAnnual,65.01827,TSLA
peExclExtraTTM,273.7632,TSLA
peInclExtraTTM,273.7632,TSLA
peNormalizedAnnual,202.2699,TSLA
peTTM,273.7632,TSLA
pfcfShareAnnual,402.7323,TSLA
pfcfShareTTM,211.0308,TSLA
pretaxMargin5Y,10.36,TSLA
pretaxMarginAnnual,9.2,TSLA
pretaxMarginTTM,7.18,TSLA
priceRelativeToS&P50013Week,30.9251,TSLA
priceRelativeToS&P50026Week,53.8088,TSLA
priceRelativeToS&P5004Week,-4.1859,TSLA
priceRelativeToS&P50052Week,85.8316,TSLA
priceRelativeToS&P500Ytd,-8.1569,TSLA
psAnnual,14.7629,TSLA
psTTM,15.0804,TSLA
ptbvAnnual,18.0835,TSLA
ptbvQuarterly,18.8938,TSLA
quickRatioAnnual,1.4443,TSLA
quickRatioQuarterly,1.4813,TSLA
receivablesTurnoverAnnual,26.503,TSLA
receivablesTurnoverTTM,25.7632,TSLA
revenueEmployeeAnnual,0.7774,TSLA
revenueEmployeeTTM,0.761,TSLA
revenueGrowth3Y,21.98,TSLA
revenueGrowth5Y,31.78,TSLA
revenueGrowthQuarterlyYoy,11.57,TSLA
revenueGrowthTTMYoy,-1.56,TSLA
revenuePerShareAnnual,27.9274,TSLA
revenuePerShareTTM,27.1222,TSLA
revenueShareGrowth5Y,24.77,TSLA
roa5Y,9.08,TSLA
roaRfy,5.84,TSLA
roaTTM,4.14,TSLA
roe5Y,16.66,TSLA
roeRfy,9.78,TSLA
roeTTM,6.909999999999999,TSLA
roi5Y,14.83,TSLA
roiAnnual,8.790000000000001,TSLA
roiTTM,6.279999999999999,TSLA
tangibleBookValuePerShareAnnual,22.2907,TSLA
tangibleBookValuePerShareQuarterly,23.5379,TSLA
tbvCagr5Y,62.75,TSLA
totalDebt/totalEquityAnnual,0.1126,TSLA
totalDebt/totalEquityQuarterly,0.0963,TSLA
yearToDatePriceReturnDaily,7.399,TSLA
